Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
Zero,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1--,--1,--,--,--,-1-,--,--,--,-1-,--,-2-,--,--,--,--,--,--,--,--,--,--,1-4-1
Two,--,--,--,--,--,--,--,--,--,--,--,--,--,-1-,-2-,--,--,1--,--,--,--,--,--,-2-,--,--,--,--,--,-1-,1--,--,--,--,--,--,2-6-
Four,--,2--,2--,--,--,--,--,--,25-1-,1--,--,2--,-1-,--,1-1-1,--,--,3-1-,--,--,--,--,--,3--,--,--,1--,--,--,1--,--,--,--,-1-,--,--,41-5-1
Five,--,--,--,--,--,--,--,--,--,--,--,--,--1,--,--1,--1,--,--,--,--1,--,--,--1,--,--,--3,--,--,--,--,--,--,--,--,--,--,--8
Six,--,-1-,-2-1,--,--,-2-,--,-1-,-25-1,-1-,--,--,--,--,-6-,--,--,-3-,--,-1-1,-1-,--,-3-,-5-,--,-1-,1--,--,--,-1-,-1-,--,--,--,-1-,--,1-55-3
Seven,--,--,--,--1,--,--1,--,--,--1,--1,--,--,--,--,--1,--2,--,--,--,--1,--,--,--2,--,--,--2,--,--,--1,--,--,--,--,--,--,--,--13
Eight,-1-,1-2-,2-4-1,--1,1-2-,-1-,--,--,1--3,3-4-,1--,-3-,1--,--,3-8-1,-1-,--,4-2-2,2-1-,6-11-1,4--,-1-1,1-1-,3-7-2,--2,--4,3-5-,--,--2,3-2-,1-2-1,--,1--,17-6-4,--,2-6-,60-70-25
Nine,--3,--,--3,--,--1,--2,--,--,--3,--,--,--,--,--,--3,--,--,--3,--,--,--,--,--1,--1,--,--4,--,--,--,--,--1,--,--1,--3,--,--,--29
Ten,3-4-,10-10-2,24-26-6,-2-,7-6-2,3-2-,3-3-,-2-1,2-2-1,1-6-1,1-2-,1-1-1,-1-,2-1-,18-22-5,2-3-1,5-5-5,7-9-2,3-1-,18-37-4,-4-1,15-20-3,3-4-,23-32-16,4-4-,58-61-15,4-5-,1-1-,2-3-,5-10-5,2-4-,4-3-2,2-4-,36-48-18,--,10-8-2,279-356-93
