geo,par2017,par2018,par2019,joinID
Marcola SD 79J,,0.480769231,,MARCOLA SD 79J
McKenzie SD 68,1.166666667,0.461538462,,MCKENZIE SD 68
McMinnville SD 40,1.021276596,0.923344948,,MCMINNVILLE SD 40
Medford SD 549C,0.46037464,0.458932715,0.938854857,MEDFORD SD 549C
Milton-Freewater Unified SD 7,0.964028777,0.952380952,,
Mitchell SD 55,,,,MITCHELL SD 55
Molalla River SD 35,0.862244898,0.861313869,,MOLALLA RIVER SD 35
Monroe SD 1J,0.857142857,0.8,,MONROE SD 1J
Monument SD 8,,1,,MONUMENT SD 8
Morrow SD 1,0.787878788,0.787234043,0.844979755,
Mt Angel SD 91,,0.938461538,,MT ANGEL SD 91
Mutlnomah ESD,1.142857143,0.714285714,,
Myrtle Point SD 41,,0.931818182,,
Neah-Kah-Nie SD 56,0.924050633,0.925373134,0.971839859,NEAH-KAH-NIE SD 56
Nestucca Valley SD 101J,,0.727272727,0.976194762,NESTUCCA VALLEY SD 101J
Newberg SD 29J,1.035799523,0.973045822,0.794871795,NEWBERG SD 29J
North Bend SD 13,0.9,0.805714286,0.795759162,NORTH BEND SD 13
North Clackamas SD 12,0.880784314,0.857894737,0.646966732,NORTH CLACKAMAS SD 12
North Douglas SD 22,,0.428571429,,NORTH DOUGLAS SD 22
North Lake SD 14,,,,NORTH LAKE SD 14
North Marion SD 15,0.758823529,0.835443038,,NORTH MARION SD 15
North Powder SD 8J,,1.045454545,,NORTH POWDER SD 8J
North Santiam SD 29J,0.884615385,0.42506812,1.686274598,NORTH SANTIAM SD 29J
North Wasco County SD 21,0.74015748,0.810679612,0.884615385,
Nyssa SD 26,0.755102041,1,,NYSSA SD 26
Oakland SD 1,,,,OAKLAND SD 1
Oakridge SD 76,1.541666667,0.863636364,,OAKRIDGE SD 76
Ontario SD 8C,,0.772222222,,ONTARIO SD 8C
Oregon City SD 62,0.59959142,0.868501529,0.398591549,OREGON CITY SD 62
Oregon School for the Deaf SD,,,,
Oregon Trail SD 46,0.793103448,0.947368421,,OREGON TRAIL SD 46
Paisley SD 11,0.288888889,0.136363636,,PAISLEY SD 11
Parkrose SD 3,0.806451613,0.891566265,,PARKROSE SD 3
Pendleton SD 16,0.915384615,0.948339483,,PENDLETON SD 16
Perrydale SD 21,1,1,,
Philomath SD 17J,0.956834532,0.953846154,1,PHILOMATH SD 17J
Phoenix-Talent SD 4,0.756880734,1.040609137,,PHOENIX-TALENT SD 4
Pilot Rock SD 2,1,,,PILOT ROCK SD 2
Pine Creek SD 5,,,,PINE CREEK SD 5
Pine Eagle SD 61,1,0.818181818,0.928571429,
Pinehurst SD 94,,,,PINEHURST SD 94
Pleasant Hill SD 1,0.882978723,1.035294118,0.973684215,PLEASANT HILL SD 1
Plush SD 18,,,,PLUSH SD 18
Port Orford-Langlois SD 2CJ,,0.944444444,1,
Portland SD,0.790322581,0.882850551,#N/A,
Portland SD 1J,0.911864407,,0.897682364,PORTLAND SD 1J
Powers SD 31,,,,POWERS SD 31
Prairie City SD 4,1.043478261,0.846153846,0.958333333,PRAIRIE CITY SD 4
Prospect SD 59,0.823529412,0.952380952,,PROSPECT SD 59
Rainier SD 13,0.931506849,0.77,0.974683544,RAINIER SD 13
Redmond SD 2J,0.894736842,0.836734694,0.936842153,REDMOND SD 2J
Reedsport SD 105,,0.811049724,,REEDSPORT SD 105
Reynolds SD 7,0.810363837,,0.259673575,REYNOLDS SD 7
Riddle SD 70,,1,,RIDDLE SD 70
Riverdale SD 51J,1,0.771428571,,RIVERDALE SD 51J
Rogue River SD 35,,0.939424704,0.813333333,ROGUE RIVER SD 35
Salem-Keizer SD 24J,0.982819905,0.893617021,0.997222222,
Santiam Canyon SD 129J,0.976744186,1.025906736,0.975,SANTIAM CANYON SD 129J
Scappoose SD 1J,0.949044586,0.96,1,SCAPPOOSE SD 1J
Scio SD 95,0.947368421,0.949579832,,SCIO SD 95
Seaside SD 10,,0.404109589,,SEASIDE SD 10
Sheridan SD 48J,0.803030303,1,,SHERIDAN SD 48J
Sherman County SD,1,0.933618844,,
Sherwood SD 88J,0.848812095,0.620098039,1,SHERWOOD SD 88J
Silver Falls SD 4J,0.597014925,0.129411765,0.61781692,SILVER FALLS SD 4J
Sisters SD 6,0.47,,,SISTERS SD 6
Siuslaw SD 97J,,,,SIUSLAW SD 97J
South Harney SD 33,,0.981220657,,SOUTH HARNEY SD 33
South Lane SD 45J3,0.948717949,,,
South Umpqua SD 19,,0.458333333,,SOUTH UMPQUA SD 19
South Wasco County SD 1,1.037037037,0.833333333,,SOUTH WASCO COUNTY SD 1
Spray SD 1,,1.390588235,,SPRAY SD 1
Springfield SD 19,1.063348416,0.958139535,0.988993717,SPRINGFIELD SD 19
St Helens SD 502,0.931818182,0.909090909,,
St Paul SD 45,0.875,0.888888889,0.736842153,
Stanfield SD 61,0.942857143,,,
Suntex SD 10,,,,SUNTEX SD 10
Sutherlin SD 130,,0.439226519,,SUTHERLIN SD 130
Sweet Home SD 55,0.628342246,1.846153846,,SWEET HOME SD 55
The Cottonwood School of Civics and Science SD,0.958333333,,,
The Ivy School SD,0.802631579,0.736842105,,
