geo,par2017,par2018,par2019
Central: Benton-Polk,0.830837493,0.721286371,0.853211009
Central: Deschutes-Jefferson,0.773532477,0.757086473,0.898489933
Central: Lane,0.926463232,0.868735084,0.956842105
Central: Linn-Lincoln,0.593718338,0.089322382,0.975247525
Central: Polk-Marion,0.890318213,0.749055178,0.815361139
Eastern,0.660204828,0.826504805,0.61131874
Northern,0.670264036,0.883397216,0.661833105
Southern,0.59893617,0.8202977,0.583082707
