Date,Adel SD 21,Adrian SD 61,Alsea SD 7J,Amity SD 4J,Annex SD 29,Arlington SD 3,Arock SD 81,Ashland SD 5,Ashwood SD 8,Astoria SD 1,Athena-Weston SD 29RJ,Baker SD 5J,Bandon SD 54,Banks SD 13,Beaverton SD 48J,Bend-LaPine Administrative SD 1,Bethel SD 52,Blachly SD 90,Black Butte SD 41,Brookings-Harbor SD 17C,Burnt River SD 30J,Butte Falls SD 91,Camas Valley SD 21J,Canby SD 86,Cascade SD 5,Centennial SD 28J,Central Curry SD 1,Central Linn SD 552,Central Point SD 6,Central SD 13J,Clatskanie SD 6J,Colton SD 53,Condon SD 25J,Coos Bay SD 9,Coquille SD 8,Corbett SD 39,Corvallis SD 509J,Cove SD 15,Creswell SD 40,Crook County SD,Crow-Applegate-Lorane SD 66,Culver SD 4,Dallas SD 2,David Douglas SD 40,Days Creek SD,Dayton SD 8,Dayville SD 16J,Diamond SD 7,Double O SD 28,Douglas County SD 4,Drewsey SD 13,Dufur SD 29,EAGLE Charter School SD,Eagle Point SD 9,Echo SD 5,Elgin SD 23,Elkton SD 34,Enterprise SD 21,Estacada SD 108,Eugene SD 4J,Falls City SD 57,Fern Ridge SD 28J,Forest Grove SD 15,Fossil SD 21J,Four Corners Community School SD,Frenchglen SD 16,Gaston SD 511J,Gervais SD 1,Gladstone SD 115,Glendale SD 77,Glide SD 12,Grants Pass SD 7,Greater Albany Public SD 8J,Gresham-Barlow SD 10J,Harney County SD 3,Harney County SD 4,Harney County Union High SD 1J,Harper SD 66,Harrisburg SD 7J,Helix SD 1,Hermiston SD 8,Hillsboro SD 1J,Hood River County SD,Huntington SD 16J,Imbler SD 11,Ione SD R2,Jefferson County SD 509J,Jefferson SD 14J,Jewell SD 8,John Day SD 3,Jordan Valley SD 3,Joseph SD 6,Junction City SD 69,Juntura SD 12,Klamath County SD,Klamath Falls City Schools,Knappa SD 4,La Grande SD 1,Lake County SD 7,Lake Oswego SD 7J,Lebanon Community SD 9,Lincoln County SD,Long Creek SD 17,Lowell SD 71,Mapleton SD 32,Marcola SD 79J,McKenzie SD 68,McMinnville SD 40,Medford SD 549C,Milton-Freewater Unified SD 7,Mitchell SD 55,Molalla River SD 35,Monroe SD 1J,Monument SD 8,Morrow SD 1,Mt Angel SD 91,Mutlnomah ESD,Myrtle Point SD 41,Neah-Kah-Nie SD 56,Nestucca Valley SD 101J,Newberg SD 29J,North Bend SD 13,North Clackamas SD 12,North Douglas SD 22,North Lake SD 14,North Marion SD 15,North Powder SD 8J,North Santiam SD 29J,North Wasco County SD 21,Nyssa SD 26,Oakland SD 1,Oakridge SD 76,Ontario SD 8C,Oregon City SD 62,Oregon School for the Deaf SD,Oregon Trail SD 46,Paisley SD 11,Parkrose SD 3,Pendleton SD 16,Perrydale SD 21,Philomath SD 17J,Phoenix-Talent SD 4,Pilot Rock SD 2,Pine Creek SD 5,Pine Eagle SD 61,Pinehurst SD 94,Pleasant Hill SD 1,Plush SD 18,Port Orford-Langlois SD 2CJ,Portland SD,Portland SD 1J,Powers SD 31,Prairie City SD 4,Prospect SD 59,Rainier SD 13,Redmond SD 2J,Reedsport SD 105,Reynolds SD 7,Riddle SD 70,Riverdale SD 51J,Rogue River SD 35,Salem-Keizer SD 24J,Santiam Canyon SD 129J,Scappoose SD 1J,Scio SD 95,Seaside SD 10,Sheridan SD 48J,Sherman County SD,Sherwood SD 88J,Silver Falls SD 4J,Sisters SD 6,Siuslaw SD 97J,South Harney SD 33,South Lane SD 45J3,South Umpqua SD 19,South Wasco County SD 1,Spray SD 1,Springfield SD 19,St Helens SD 502,St Paul SD 45,Stanfield SD 61,Suntex SD 10,Sutherlin SD 130,Sweet Home SD 55,The Cottonwood School of Civics and Science SD,The Ivy School SD,Three Rivers/Josephine County SD,Tigard-Tualatin SD 23J,Tillamook SD 9,Troy SD 54,Ukiah SD 80R,Umatilla SD 6R,Union SD 5,Vale SD 84,Vernonia SD 47J,Wallowa SD 12,Warrenton-Hammond SD 30,West Linn-Wilsonville SD 3J,Willamina SD 30J,Winston-Dillard SD 116,Woodburn SD 103,Yamhill Carlton SD 1,Yoncalla SD 32,Oregon
2017,0----,1-24-5-5651.04-235.46,1-14-5-4982.18-355.87,1-74-4-20054-271,0----,1-14-5-6104-436,0----,3-212-3-29161.71-137.555235849057,0----,0----,1-51-5-8704.55-170.677450980392,2-202-4.5-20125.79-99.6326237623762,0----,1-83-4-21670.47-261.09,14-2572-3.71428571428571-607849.32-236.3333281493,18-1348-3-246866.43-183.135333827893,2-137-3-25761.64-188.041167883212,1-19-6-13169.85-693.15,0----,0----,0----,0----,0----,6-321-4.33333333333333-103363.4604-322.00454953271,1-172-5-27004-157,0----,0----,1-47-4-19325.46-411.18,5-376-3-8683.96-23.0956382978723,0----,1-46-3-10580-230,0----,1-10-5-2358.5-235.85,2-225-3-42120.05-187.200222222222,0----,1-90-6-46355.4-515.06,9-512-3.33333333333333-134712.61-263.11056640625,1-22-4-6395.18-290.69,1-98-4-14604.94-149.03,4-208-5-68109.6-327.45,0----,1-51-3-9180-180,2-202-3.5-24713.52713-122.344193712871,3-697-3-146016.71-209.4931276901,0----,1-71-3-11840.37-166.765774647887,0----,0----,0----,2-106-3-14155.84-133.545660377359,0----,0----,0----,5-238-3-31362.45-131.775,1-25-5-3958.75-158.35,0----,1-19-4-5395.43-283.97,1-53-4-7196.306-135.779358490566,1-131-4-33863.5-258.5,6-361-3.5-68857.7-190.741551246537,1-16-4-4934.72-308.42,2-118-4-15340-130,3-444-3.33333333333333-94220.24-212.207747747748,0----,1-20-5-11655.22-582.761,0----,1-43-4-9850.01-229.07,0----,1-124-5-48061.16-387.59,1-22-3-5505.94-250.27,1-55-3-11615-211.181818181818,1-135-3-31765.5-235.3,1-143-4-45842.94-320.58,5-746-3-184978.48-247.960428954424,1-64-3-16208.64-253.26,0----,0----,1-6-5-1826.22-304.37,0----,1-17-4-3681.52-216.56,0----,27-1515-3.03703703703704-276292.8-182.371485148515,2-276-4-92903.71-336.607644927536,0----,1-29-3-4229.07-145.83,1-12-4-4289.52-357.46,2-176-3-33365.53-189.576875,1-62-3-11078.78-178.69,0----,2-64-4-23760.64-371.26,0----,2-35-4-4721.6-134.902857142857,0----,0----,11-420-3.54545454545455-100517.47-239.32730952381,4-198-4-55036.31-277.961161616162,0----,1-155-3-21616.98-139.464387096774,4-120-2-8406.05-70.0504166666667,0----,5-323-3.8-83831.91-259.541517027864,4-304-3.5-37387.44-122.985,0----,0----,0----,0----,1-35-3-4748.1-135.66,1-96-3-18975.36-197.66,11-639-3.09090909090909-80884.41-126.579671361502,1-134-3-16922.86-126.29,0----,4-169-3-36343.45-215.05,1-24-5-9235.44-384.81,0----,3-130-3.33333333333333-22992.46-176.865076923077,0----,1-8-1-655.52-81.94,0----,1-73-4-18041.32-247.141369863014,0----,6-434-3-75614.159982-174.226175073733,1-180-3-22129.2-122.94,5-1123-4.2-261431.35-232.797284060552,0----,0----,1-129-3-39940.62-309.617209302326,0----,3-161-4-42256.67-262.463788819876,2-188-3-41141.9-218.839893617021,1-74-5-25100.1-339.19054054054,0----,1-74-3-5012.76-67.74,0----,6-587-3.83333333333333-161739.39-275.535587734242,0----,1-23-3-6007.83-261.21,1-13-3-3081-237,1-225-6-112918.5-501.86,1-238-3-30057.02-126.29,1-25-4-7409.5-296.38,2-133-4-45654.51-343.266992481203,3-165-3-46707.82-283.077696969697,1-30-4-3889.2-129.64,0----,1-19-3-5454.71-287.09,0----,1-83-4-16804.18-202.46,0----,0----,1-49-6-23815.96-486.04,37-3228-5.94594594594595-1446840.2-448.215675340768,0----,1-24-4-8931.12-372.13,1-14-3-4853.5-346.678571428571,1-68-5-19955.295-293.460220588235,7-510-3-94500.74-185.295568627451,0----,6-735-4.16666666666667-217282.24-295.622095238095,0----,1-49-6-24149.16-492.84,0----,22-1659-2.95454545454545-201640.7-121.543520192887,1-42-5-8085.84-192.52,2-149-3.5-29812.58-200.084429530201,1-54-5-14515.74-268.81,0----,2-53-3.5-15366.95-289.942452830189,1-14-5-4515.98-322.57,3-393-4-92140.76-234.454860050891,6-240-3.83333333333333-56981.48-237.422833333333,2-141-3-24993.33-177.257659574468,0----,0----,5-222-3.4-42598.28-191.884144144144,0----,1-28-5-8179.88-292.138571428571,0----,4-705-2.75-35864.38-50.8714609929078,4-205-3.75-43166.128-210.566478048781,1-14-6-6753.04-482.36,1-33-4-5261.19-159.43,0----,0----,5-235-3.2-37994.310002-161.677914902128,1-23-4-7088.83-308.21,1-61-6-30073.61-493.01,4-241-3-79721.74-330.795601659751,3-811-3-147064.49-181.337225647349,1-174-5-36712.26-210.99,0----,1-3-3-1090.77-363.59,1-74-3-13539.04-182.96,1-28-3-7049-251.75,0----,1-32-4-6164.21-192.6315625,1-32-4-4542.881-141.96503125,0----,4-719-4-97879.04-136.132183588317,0----,0----,0----,1-87-4-22819.24-262.290114942529,0----,390-30834-3.738462-7176271.357514-232.7389
2018,0----,1-26-4-5359.12-206.12,1-15-5-6490.05-432.67,1-71-4-17629.3-248.3,0----,1-14-5-3052-218,0----,3-206-3.33333333333333-47900.3116-232.525784466019,0----,0----,1-47-5-5667.26-120.58,4-141-4-26592.6-188.6,0----,1-86-4-22954.26-266.91,16-2889-4-670484.53609-232.08187472828,18-1294-3-249442.46-192.768516228748,7-430-3-83295.926-193.711455813953,1-20-6-13886.8-694.34,1-9-4-1485-165,1-120-3-10300.8-85.84,0----,1-33-4-9217.8867-279.3299,0----,6-338-4.16666666666667-116741.17002-345.388076982249,1-175-5-38825.5-221.86,7-376-6-186020.87-494.736356382979,1-29-3-5742-198,1-48-4-12998.4-270.8,6-366-2.83333333333333-37131.36-101.451803278689,0----,1-48-3-11623.68-242.16,0----,1-12-5-3428.4-285.7,2-214-3-46901.35-219.165186915888,0----,1-103-6-55877.54-542.500388349515,9-525-3.33333333333333-144104.013598-274.483835424762,1-22-3-7088.4-322.2,1-88-4-13793.49-156.744204545455,4-218-5-59472.58-272.81,0----,1-55-3-10079.3-183.26,3-184-3.66666666666667-30299.85-164.673097826087,3-703-6-372155.63-529.382119487909,0----,1-63-3-10438.58-165.691746031746,1-5-3-1225-245,0----,0----,4-280-3-46606.420078-166.451500278571,0----,1-19-3-9423.24-495.96,1-13-3-5506-423.538461538462,5-279-3-69436.63-248.876810035842,1-25-5-8925-357,1-61-3-15870.98-260.18,1-28-5-5433.68-194.06,1-32-4-4398.29-137.4465625,1-114-4-32854.8-288.2,22-1351-3.04545454545455-300280.58-222.265418208734,1-20-4-5496-274.8,2-112-4-20350.169998-181.697946410714,3-412-4-102860.05-249.660315533981,0----,1-30-4-8785.5-292.85,0----,1-38-4-9077.06-238.87,0----,1-173-6-96058.25-555.25,0----,1-52-3-11719.9992-225.3846,1-192-3-49674.24-258.72,4-691-3-160392.92-232.117105643994,6-861-5.5-429036.58-498.300325203252,1-59-3-15635-265,1-28-4-6344.52-226.59,0----,1-7-4-1512.77-216.11,1-40-3-6095.74-152.3935,1-13-4-3797.18-292.090769230769,5-474-3-32961.24-69.5384810126582,27-1511-3.03703703703704-283629.48-187.709781601588,2-289-4-96423.23-333.644394463668,0----,1-25-3-2796.75-111.87,1-15-4-5846.85-389.79,2-173-3-32774.45-189.447687861272,1-66-3-13068-198,0----,2-39-4-14371.3-368.494871794872,1-5-4-2423.75-484.75,1-30-4-4180-139.333333333333,1-133-3-11505.83-86.51,0----,12-441-3.83333333333333-135494-307.242630385488,4-199-3.75-70037.47-351.947085427136,0----,1-188-3-28433.12-151.24,1-51-3-10102.08-198.08,2-522-4-115275.16-220.833639846743,7-364-3.57142857142857-99004.01-271.989038461538,5-415-3.2-69444.4416-167.336003855422,0----,1-24-3-1015.2-42.3,1-18-4-9122.22-506.79,3-50-3-9176.46-183.5292,1-12-3-4374.48-364.54,3-265-3-38302.89-144.53920754717,19-989-3.10526315789474-179112.616-181.104768452983,1-140-3-22890-163.5,0----,6-236-3-52373.789-221.922834745763,1-20-5-6712-335.6,1-11-4-2273.15-206.65,3-148-3.33333333333333-33751.38-228.049864864865,1-61-3-18059.05-296.05,1-5-6-1938-387.6,1-41-3-7958.1-194.1,1-62-4-15957.36-257.376774193548,1-24-4-7308.24-304.51,5-361-3-82106.26-227.441163434903,1-141-3-42947.39-304.591418439716,6-1141-4.16666666666667-287051.6-251.578965819457,1-30-3-11934.3-397.81,0----,1-132-4-50108.52-379.61,1-46-4-11979.09-260.415,3-156-4-35197.54-225.625256410256,2-167-4-43109.95-258.143413173653,1-90-5-34566.3-384.07,0----,1-38-3-1700.5-44.75,2-139-4-90147.1286-648.54049352518,3-568-4.66666666666667-206649.76-363.82,0----,1-36-4-12920.58-358.905,1-6-3-1188-198,1-222-6-116918.35-526.659234234234,1-257-3-31529.8008499999-122.68405,1-22-4-5454.24-247.92,2-124-4-47913.52-386.39935483871,3-205-3-59738.97-291.409609756098,1-31-4-3819.2-123.2,0----,1-9-4-2229.705-247.745,0----,1-88-4-17786.97-202.124659090909,0----,1-17-3-3687.81-216.93,36-3444-5.72222222222222-1888379.96-548.310092915215,0----,0----,1-11-3-3219.7-292.7,1-60-5-19939.2-332.32,8-539-3.125-116681.95-216.478571428571,1-82-4-20044.85072-244.44939902439,7-734-5.57142857142857-373560.03-508.937370572207,0----,1-49-6-26912.8-549.240816326531,1-54-3-17113.14-316.91,38-2776-3-477856.01-172.138332132565,1-42-5-10186.26-242.53,2-198-4-51884.66-262.043737373737,1-48-5-716275.68-14922.41,2-113-3-21152.96-187.194336283186,3-59-3.33333333333333-22142.6-375.298305084746,1-26-5-8072.22-310.47,3-436-4-106509.87-244.28869266055,7-253-3.85714285714286-65044.14-257.091462450593,1-11-3-1812.47-164.77,1-112-4-23295.68-207.997142857143,0----,5-209-3.2-51972.88-248.674066985646,0----,1-22-4-6500.56-295.48,1-5-4-2016.55-403.31,3-591-3-45420.841-76.8542148900169,4-206-5.25-66430.4-322.477669902913,1-20-6-9860-493,1-32-4-5022.08-156.94,0----,0----,5-159-3.2-37662.317756-236.869922993711,1-24-3-6330.72-263.78,0----,4-294-3-112906.9-384.037074829932,3-839-3-166112.38-197.988533969011,1-169-5-52146.64-308.56,0----,1-3-4-260.16-86.72,1-99-4-15906.33-160.67,1-30-3-6990-233,1-23-5-7851.05-341.35,1-50-5-11183-223.66,1-10-4-1434.784-143.4784,0----,5-798-4.2-329524.54-412.938020050125,0----,2-165-5-74941.35-454.19,0----,1-73-4-19812.93-271.41,1-16-3-9808-613,,496-37859-3.768145-11412237.2-301.4405
2019,----,1-27-4-5940-220,----,----,1-27-5-9035.55-334.65,----,----,3-195-4-61768.8-316.763076923077,----,1-140-3-20720-148,----,2-220-4-50696.3-230.437727272727,----,----,4-487-4-125413.4-257.522381930185,7-493-3-101203.22-205.280365111562,----,----,----,----,----,----,1-30-3-8466-282.2,----,1-199-5-63803.38-320.62,3-194-6-103487.28-533.439587628866,----,----,----,----,1-51-4-16269-319,1-40-5-32778.4-819.46,----,2-135-3-32406.7-240.04962962963,----,----,1-57-3-13868.67-243.31,1-24-3-7477.44-311.56,----,----,----,----,----,2-450-6-245939.58-546.5324,1-19-3-8476.28-446.12,1-82-3-14569.76-177.68,----,----,----,----,----,----,----,----,----,----,----,1-29-4-3949.8-136.2,1-109-4-33136-304,4-206-3.75-69870.66-339.177961165049,----,----,2-81-4-51084.6-630.674074074074,----,1-29-4-8284.72-285.68,----,1-47-4-12996.91-276.53,----,1-150-6-86031-573.54,----,----,----,----,6-786-5.5-414802.63-527.738715012723,1-65-3-11982.1-184.34,----,----,----,----,----,5-452-3-101070.81-223.607986725664,14-762-3.07142857142857-155283.16-203.783674540682,----,----,1-22-3-2796.64-127.12,----,5-400-3-1410212.42-3525.53105,----,1-35-4-11125.45-317.87,----,----,----,----,----,3-50-3.66666666666667-15485-309.7,4-176-4-75272.48-427.684545454545,----,----,----,2-543-4-126292.73-232.583296500921,3-114-5-46059.56-404.031228070175,1-44-4-13051.72-296.63,----,----,----,----,----,----,8-442-3-76617.14-173.341945701357,----,----,----,----,----,2-137-3-35537.11-259.39496350365,----,----,----,1-69-4-19769.88-286.52,1-41-5-13645.62-332.82,1-31-3-4091.07-131.97,1-151-5-53598.96-354.96,4-618-4.25-148441.13-240.196003236246,----,----,----,----,1-109-5-30660.61-281.29,1-23-4-14187.55-616.85,----,----,----,----,1-22-3-7942-361,----,----,----,----,----,----,1-16-3-4544-284,----,----,----,1-13-4-4940-380,----,1-74-4-27296.38-368.87,----,1-16-3-7095.2-443.45,#N/A,16-1588-5.875-935433.68-589.0640302267,----,1-23-4-12397-539,----,1-77-5-26519.57-344.41,2-178-3-40765.36-229.018876404494,----,1-50-6-27552-551.04,----,----,1-61-3-18738.59-307.19,9-655-3.11111111111111-107246.14-163.734564885496,1-39-5-10935.99-280.41,1-24-3-8263.68-344.32,----,----,----,----,1-25-4-6401.25-256.05,5-215-4-59485.21-276.675395348837,----,----,----,----,----,----,----,3-629-3.33333333333333-58289.86-92.6706836248013,----,1-14-6-8904-636,----,----,----,----,----,----,5-276-3-83528.68-302.640144927536,2-576-3-114514.54-198.809965277778,1-177-5-56289.54-318.02,----,----,----,----,1-65-3-9159.15-140.91,1-43-5-11598.39-269.73,1-12-4-1680.36-140.03,----,1-19-5-9275.99-488.21,----,----,2-441-3-64612.26-146.51306122449,----,----,173-13919-3.942196532-5691066.04-408.87032401753
