Length,Central: Benton-Polk,Central: Deschutes-Jefferson,Central: Lane,Central: Linn-Lincoln,Central: Polk-Marion,Eastern,Northern,Southern
threeNil,85--31,--,105-1014-377,--,92-518-778,19--,-11-164,229-374-128
threeTwo,995-1351-155,2226-2008-1071,850-1508-84,547-1232-,1946-2697-291,838-1389-700,6462-2933-1416,2547-3071-890
fourNil,--,--,336--252,--,--,285-75-41,--59,--
fourThree,188-175-,-90-,453-642-142,460-264-44,241-307-212,219-668-142,5435-7511-2080,410-675-222
fiveFour,230-231-,1-1-,55--54,165-158-153,263-265-308,444-355-27,573-1246-423,77-232-311
sixFive,--,--,19-20-,--,14-20-14,--,3794-6461-3115,--
