Length,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,Oregon
threeNil,-137-16,93--,136-237-112,42-139-,47--,-483-377,63-392-,--,--,-56-,92-383-578,--31,38-79-200,--,--,--164,--,--,--,--,--,--,--,--,--,--,--,--,--,19-11-,530-1917-1478
fourNil,--,--,--,105--,--,231--252,--,--,--,--,--,--,--,--59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120-75-41,165--,621-75-352
threeTwo,219-450-136,696-1041-243,734-887-357,201-434-26,558-670-135,602-492-58,182-792-,414-923-57,821-837-,763-1089-60,438-872-231,718-1020-138,593-712-115,233-41-50,1388-953-478,363-161-,836-59-58,537-594-576,274-269-,48-183-99,--,-54-,268--,235--,1174--,409--,1697-1612-582,540-345-108,774-1344-635,749-355-465,16464-16189-4607
fourThree,--,--,-14-15,374-367-142,173-415-44,145-136-,-57-,143--,333-373-242,--,--,198-199-,688-732-25,996-1304-389,182-569-102,311-439-241,447-1418-,23--,424-1002-543,921-244-109,513-496-26,17-13-,--,--,26--,861-949-592,-53-,391-579-207,131-233-,88-610-165,7406-10252-2842
fiveFour,-165-,--,30-39-160,-28-,--192,55--54,--,192-196-,312-303-302,--,--,210-210-199,--,--,--,242-463-297,--,--,-22-19,187-608-,--,--,--,--,-22-,25-24-26,--,255-218-,114-77-,189-113-27,1811-2488-1276
sixFive,--,--,--,--,19-20-,--,--,--,--,--,--,--,14-20-14,--,--,60-54-32,256--,236-500-475,283-290-232,-173-150,702-657-212,618-659-375,1296-1598-386,164-460-354,89-1389-740,90-629-159,--,--,--,--,3827-6501-3129
