Year,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,Oregon
2017,37-219-3-50797.3-231.9511,31-789-3-109101.4-138.278,32-962-3.058824-146936.3-152.7404,44-722-3.5-125396.7-173.6797,33-797-3.636364-135108.2-169.521,33-1061-3.272727-113842.4-107.2973,27-245-3-40288.36-164.4423,32-749-3.5-216163.7-288.6031,51-1416-3.76-333120.9-235.2549,28-763-3-93518.68-122.5671,34-604-2.875-74314.63-123.0375,40-1147-3.578947-220384.1-192.1396,33-1333-3.5-242402.3-181.8472,24-1229-3.75-282407.9-229.7867,29-1640-3.136364-322379.2-196.5727,39-976-4.066667-227490.9-233.0849,26-1283-3.333333-304252.3-237.1413,17-1052-4.666667-308766-293.5038,28-981-4.6-220521.1-224.7921,31-1156-4-337310.1-291.7908,26-1215-5.5-458457.7-377.3315,21-635-5.818182-287758.5-453.163,26-1564-5.823529-655258.2-418.963,24-407-4-122222-300.2998,33-1289-3.777778-358112.8-277.8222,31-1385-3.9-368783.7-266.2698,36-1697-3-311836.8-183.7577,45-1239-3.451613-280010.4-225.9971,50-1139-3.833333-183116.4-160.7694,71-1140-3.8-246212.4-215.9758,1012-30834-3.738462-7176271.357514-232.7389
2018,37-752-3.363636364-181027.4801-240.728032047872,31-1041-3-247180.43-237.445177713737,32-1333-3.125-268782.6176-201.637372543136,44-968-3.318181818-217120.0792-224.297602479339,33-1105-3.588235294-260589.5723-235.827667239819,33-1111-3.125-163595.1995-147.250404590459,27-1333-3-254055.196-190.589044261065,32-1304-3.307692308-341367.0736-261.784565644172,51-1485-3.7-1093966.777-736.677964309764,28-1145-3-235581.6-205.748122270742,34-1255-3-189375.4-150.896733067729,40-1262-3.571428571-253681.58-201.015515055467,33-1543-3.444444444-371272.47-240.617284510693,24-1345-3.888888889-309477.991-230.095160594796,29-1522-3.227272727-316890.0999-208.206373127464,39-1117-4.411764706-312889.9862-280.116370814682,26-1477-3.857142857-339493.299-229.853283006093,17-1094-4.714285714-396145.57-362.107468007313,28-1583-4.5-551203.19-348.201636133923,29-1265-4.166666667-463621.281-366.499036363636,26-1153-5.333333333-492702.14-427.321890719861,21-726-5.444444444-377811.08-520.400936639119,26-1609-5.785714286-882363.35-548.392386575513,24-478-5.714285714-252797.6-528.865271966527,33-1495-5.769230769-764871.11-511.619471571906,31-1602-5.083333333-599639.85-374.30702247191,36-1693-3.083333333-338664.85-200.038304784406,43-1175-3.7-334473.9367-284.658669531915,50-1799-3.677419355-277523.7549-154.26556692607,70-1089-3.821428571-324072.6336-297.587358677686,1007-37859-3.768145161-11412237.2-301.440534615283
2019,4-152-3-47684.08-313.711052631579,4-243-3-74593.15-306.967695473251,12-644-3.25-142413.46-221.138913043478,3-168-3.666666667-54397.62-323.795357142857,5-371-4-112703-303.78167115903,5-741-3.6-101059.28-136.382294197031,----,1-57-3-13868.67-243.31,12-544-4.5-187471.94-344.617536764706,1-60-3-11750.4-195.84,7-809-3-129176.51-159.674301606922,5-368-3.4-94632.21-257.152744565217,6-354-3.666666667-61750.95-174.437711864407,4-498-3.75-123888.16-248.77140562249,11-580-3.272727273-154974.18-267.196862068966,11-734-4.272727273-213841.52-291.337220708447,1-58-3-10970.7-189.15,5-1051-4.8-397011.29-377.746232159848,4-794-4.75-273546.08-344.516473551637,4-358-4-143290.55-400.252932960894,3-238-5.333333333-132548.18-556.92512605042,4-375-6-223023.75-594.73,4-386-6-215618.3-558.596632124352,3-354-6-198727.32-561.376610169492,6-740-6-410117.98-554.213486486486,6-777-4.833333333-239933.75-308.795045045045,8-582-3-123556.26-212.295979381443,8-315-3.75-109169.8-346.570793650794,11-676-3.181818182-152512.16-225.609704142012,15-892-3.6-1536834.79-1722.9089573991,173-13919-3.942196532-5691066.04-408.87032401753
