houseID,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,Oregon
avgDays1920,3,3,3,3,3.428571429,3,4,3.5,3.666666667,4.5,4,3.333333333,,,3,,4.833333333,4.166666667,3,,3,3,3.666666667,3,4,3.333333333,4,3.5,3.5,3,4.5,4,,3,3,6,5,4.666666667,3.5,4.5,,5.333333333,6,6,,6,6,6,6,6,4.6,6,3,3,3.5,4,3,3.5,3.166666667,3.888888889,3.942196532
