Date,Clackamas,Columbia Gorge,Douglas,Grant,Harney,High Desert,InterMountain,Jefferson,Lake,Lane,Linn Benton-Lincoln,Malheur,Multnomah,North Central,Northwest Regional,Oregon Department of Education,Region 18,South Coast,Southern OR,Willamette
2017,28-3197-3.92857142857143-748689.1804-234.184917234908,5-492-3.8-142225.49-289.076199186992,5-202-3.2-36672.21-181.545594059406,3-88-4-32691.76-371.497272727273,1-64-3-16208.64-253.26,31-2207-3.25806451612903-434470.1-196.860036248301,20-1202-3.65-179257.61-149.132787021631,3-227-3-42545.53-187.425242290749,5-133-2.2-11487.05-86.3687969924812,24-1852-3.45833333333333-242761.83-131.080901727862,31-1831-3.70967741935484-441568.380002-241.162413982523,3-104-5-32577.36-313.243846153846,57-5844-5.2280701754386-2207546.75-377.745850444901,3-38-5-12978.48-341.538947368421,62-6591-3.41935483870968-1408985.303-213.774131846457,3-104-5-48817.66-469.400576923077,4-120-4-16460.787-137.173225,3-405-3-64249.25-158.64012345679,48-2638-3.22916666666667-468694.87-177.67053449583,51-3495-3.35294117647059-587383.117112-168.063838944778
2018,31-3926-4.03225806451613-1249449.64902-318.250037957208,6-497-3.83333333333333-155456.98-312.790704225352,11-653-3.63636363636364-180488.599998-276.399081160796,4-55-3.75-17869.45-324.899090909091,2-87-3.5-21979.52-252.63816091954,31-2062-3.29032258064516-427409.46-207.2790785645,29-1806-3.58620689655172-272357.12585-150.806824944629,4-237-3.25-44338.75-187.083333333333,2-57-3-11290.08-198.071578947368,51-3276-3.2156862745098-606978.026998-185.280228021367,38-2491-3.52631578947368-1317279.352954-528.815476898434,7-290-4.28571428571429-141860.1186-489.172822758621,64-6520-5.71875-3457830.17-530.342050613497,4-57-4.75-16569.17-290.687192982456,67-7118-3.64179104477612-1612223.36609-226.499489475976,3-67-3.33333333333333-20622.22-307.794328358209,3-72-4-10013.074-139.070472222222,7-562-3-117537.45-209.141370106762,60-3269-3.26666666666667-790983.2243-241.964889660447,72-4757-3.30555555555556-939701.41-197.540763085978
2019,11-1501-4.36363636363636-443897.25-295.734343770819,1-23-4-14187.55-616.85,2-49-3-16942.28-345.760816326531,1-23-4-12397-539,1-65-3-11982.1-184.34,9-671-3-141968.58-211.577615499255,12-868-3.25-202518.3-233.316013824885,5-400-3-1410212.42-3525.53105,----,8-909-3.625-155456.9-171.019691969197,7-270-4.28571428571429-88459.94-327.629407407407,3-119-4-24134.7-202.812605042017,29-3092-5.72413793103448-1735478.85-561.280352522639,----,32-2611-3.625-641631.31-245.741597089238,1-29-4-8284.72-285.68,2-41-4-5630.16-137.320975609756,4-302-3.5-93100.86-308.280993377483,24-1200-3.375-331410.69-276.175575,21-1746-3.61904761904762-353372.43-202.38970790378
