FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,Lcontext_Soil,Lcontext_Timber,Lcontext_Nature,Lcontext_OR_NR,Lcontext_Student,Lcontent_STEM,Lcontent_Food,Lcontent_Sustainability,Lcontent_SocialStudies,Lcontent_Art,Lcontent_PhysEd,Lcontent_SocioEmotional,Lcontent_Careers,Lcontent_ORStudies,InsStrat_Multimodal,InsStrat_Collab,InsStrat_LearnerCntrd,InsStrat_Investigative,InsStrat_Reflective,InsStrat_Relevance,InsStrat_Interdisc,Support_HS,Support_Trained,Support_NR,Support_CommOrg,Instruction_HS,Instruction_Trained,Instruction_NR,Instruction_CommOrg,Underresource_Rural,Underresource_LowSES,Underresource_AIAN,Underresource_Asian,Underresource_PI,Underresource_Black,Underresource_Latinx,Underresource_MENA,Underresource_LGBTQ,,,
181,-122.5691611,45.51367888,Creative Science School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,-123.028059,43.91964747,Creslane Elementary School,Lane,Creswell SD 40,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-122.613627,45.495054,Creston K-8 School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,-124.0652785,44.40575888,Crestview Heights School,Linn Benton Lincoln,Lincoln County SD,Lincoln,41005,State Senate District 5,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41010,State House District 10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,-123.02663,43.91687302,Creswell Middle School,Lane,Creswell SD 40,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,-120.8341827,44.30120734,Crook County Middle School,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,-120.84032,44.30114749,Crooked River Elementary School,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,-123.0636182,44.87452545,Crossler Middle School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,-121.2125297,44.52340253,Culver Elementary School,Jefferson,Culver SD 4,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,-121.2121597,44.52241251,Culver Middle School,Jefferson,Culver SD 4,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,-123.03427,44.99049498,Cummings Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41013,State Senate District 13,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41025,State House District 25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,-122.639738,45.52494252,da Vinci Arts Middle School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,1,10,8,8,10,10,9,9,8,8,8,8,9,7,8,10,10,10,10,10,10,10,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,
193,-123.327131,44.91550755,Dallas Community Charter,Willamette,Dallas SD 2,Polk,41012,State Senate District 12,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41023,State House District 23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,-120.3484226,42.1868918,Daly Middle School,Lake,Lake County SD 7,Lake,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,-123.1807167,44.07672438,Danebo Elementary School,Lane,Bethel SD 52,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41014,State House District 14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,-122.4619992,45.52281624,Davis Elementary School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,-123.1629676,42.96981955,Days Creek Charter School,Douglas,Days Creek SD,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,1,7,3,5,2,6,5,3,7,6,5,6,4,2,5,8,8,8,6,7,6,6,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,,
198,-123.0785456,45.2191344,Dayton Grade School,Willamette,Dayton SD 8,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,10,6,6,10,8,4,6,9,6,3,6,6,4,1,8,6,6,8,6,10,7,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,,,
199,-123.083864,45.21619562,Dayton Jr High School,Willamette,Dayton SD 8,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-119.5378452,44.46694409,Dayville School,Grant,Dayville SD 16J,Grant,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,-122.4137435,45.42063456,Deep Creek-Damascus K-8 School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41051,State House District 51,1,9,5,3,9,9,5,8,10,7,6,8,8,6,5,9,9,8,9,8,9,8,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,
202,-122.8120296,45.40257818,Deer Creek Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,-121.3025938,44.08380982,Desert Sky Montessori,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,-119.3057906,45.83012976,Desert View Elementary School,InterMountain,Hermiston SD 8,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,1,10,10,10,10,10,10,10,10,10,0,10,10,10,8,10,10,10,8,8,10,10,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,,,
205,-122.4177447,45.49396246,Dexter McCarty Middle School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,1,10,9,9,10,10,10,9,10,10,8,10,10,9,9,10,10,10,10,10,10,10,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,
206,-118.6793896,43.0085436,Diamond Elementary School,Harney,Diamond SD 7,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,-123.1270614,45.49057366,Dilley Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,-122.8798557,43.7377626,Dorena School,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,-119.279485,43.33601248,Double O Elementary School,Harney,Double O SD 28,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,-122.975046,44.03627901,Douglas Gardens Elementary School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,-118.377747,43.8054836,Drewsey Elementary School,Harney,Drewsey SD 13,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,-124.4973427,42.74816929,Driftwood Elementary School,South Coast,Port Orford-Langlois SD 2CJ,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,1,10,9,10,10,9,9,10,10,6,0,6,8,9,0,6,9,9,9,9,10,9,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,,,
213,-121.1730998,45.58731252,Dry Hollow Elementary School,Columbia Gorge,North Wasco County SD 21,Wasco,41030,State Senate District 30,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41059,State House District 59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,-121.1247503,45.45491746,Dufur School,Columbia Gorge,Dufur SD 29,Wasco,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,-123.0103188,45.27997633,Dundee Elementary School,Willamette,Newberg SD 29J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,-122.6291332,45.46837738,Duniway Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,-123.2087872,45.21209648,Duniway Middle School,Willamette,McMinnville SD 40,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,-122.76024,45.402259,Durham Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41035,State House District 35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,-123.022191,44.964943,EAGLE Charter School,Oregon Department of Education,EAGLE Charter School SD,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41022,State House District 22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,-122.793505,42.48404702,Eagle Point Middle School,Southern OR,Eagle Point SD 9,Jackson,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41004,State House District 4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,-122.7998689,42.48450924,Eagle Rock Elementary School,Southern OR,Eagle Point SD 9,Jackson,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41004,State House District 4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,-122.552011,45.49410999,Earl Boyles Elementary,Multnomah,David Douglas SD 40,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,-123.82082,45.45435747,East Elementary School,Northwest Regional,Tillamook SD 9,Tillamook,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,1,8,7,7,10,9,8,7,8,8,10,10,10,10,7,10,10,2,9,9,9,7,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,
224,-122.42099,45.49313898,East Gresham Elementary School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,-122.355216,45.46873801,East Orient Elementary School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41052,State House District 52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,-123.3097451,43.39315725,East Sutherlin Primary School,Douglas,Sutherlin SD 130,Douglas,41004,State Senate District 4,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41007,State House District 7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,-123.3199912,43.20715745,Eastwood Elementary School,Douglas,Douglas County SD 4,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,-122.9606108,45.52337963,Eastwood Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,10,9,9,10,10,8,10,10,6,9,9,10,9,9,8,9,9,9,9,9,9,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,,,
230,-119.18961,45.74037248,Echo School,InterMountain,Echo SD 5,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,-123.062197,45.51136749,Echo Shaw Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,10,7,7,10,9,10,7,6,7,5,8,7,7,8,10,10,8,10,8,10,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,,,
232,-123.776463,44.63399802,Eddyville Charter School,Linn Benton Lincoln,Lincoln County SD,Lincoln,41005,State Senate District 5,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41010,State House District 10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,-123.0847971,44.00434371,Edgewood Community Elementary School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,1,10,8,8,10,8,8,8,10,9,8,9,9,8,7,8,8,9,10,9,9,8,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,,,
234,-123.072369,44.03560251,Edison Elementary School,Lane,Eugene SD 4J,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,1,10,8,8,10,7,8,6,10,8,5,10,10,4,3,10,10,10,10,10,10,10,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,,,
235,-122.7701389,45.36292038,Edward Byrom Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,-122.9716005,45.29382751,Edwards Elementary School,Willamette,Newberg SD 29J,Yamhill,41013,State Senate District 13,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41025,State House District 25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,-122.8650725,45.36402,Edy Ridge Elementary School,Northwest Regional,Sherwood SD 88J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,-122.633997,45.44170101,El Puente,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,-123.0065077,44.06976958,Elizabeth Page Elementary School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,-121.3461734,44.0135848,Elk Meadow Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,-123.5788222,43.64220396,Elkton Charter School,Douglas,Elkton SD 34,Douglas,41004,State Senate District 4,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41007,State House District 7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,-123.3536437,44.07195134,Elmira Elementary School,Lane,Fern Ridge SD 28J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,-122.8512191,45.5164825,Elmonica Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,-121.1796471,44.30529431,Elton Gregory Middle School,High Desert,Redmond SD 2J,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,-122.6791705,45.52394969,Emerson School,Multnomah,Portland SD 1J,Multnomah,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41033,State House District 33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,-123.0112125,44.94566358,Englewood Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,1,8,8,8,10,9,3,5,10,3,0,2,4,0,3,5,9,10,10,8,9,9,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,,,
247,-121.2759666,44.07131858,Ensworth Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,-117.2724609,45.42432239,Enterprise Elementary School,Region 18,Enterprise SD 21,Wallowa,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,1,10,10,9,10,7,10,10,10,7,3,9,4,9,5,7,10,10,10,8,10,8,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,
249,-123.3196298,45.06505998,Eola Hills Charter School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41023,State House District 23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,-122.8632421,45.46705086,Errol Hassell Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,-122.3337927,45.29362358,Estacada Middle School,Clackamas,Estacada SD 108,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,1,9,6,7,8,7,10,6,7,7,0,7,4,0,0,8,10,8,10,8,8,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,
252,-122.809793,44.98028201,Evergreen Elementary School,Willamette,Silver Falls SD 4J,Marion,41009,State Senate District 9,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41018,State House District 18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,-123.652962,42.16942755,Evergreen Elementary School,Southern OR,Three Rivers/Josephine County SD,Josephine,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41003,State House District 3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,-123.0573279,45.33007304,Ewing Young Elementary School,Willamette,Newberg SD 29J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,1,10,9,8,10,9,10,7,8,6,5,6,0,6,5,10,10,10,10,8,10,8,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,,,
255,-122.9619702,44.91857457,Mary Eyre Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,-123.1499625,44.07016122,Fairfield Elementary School,Lane,Bethel SD 52,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41014,State House District 14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,-122.4363163,45.53920425,Fairview Elementary School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,-123.4320899,44.86789423,Falls City Elementary School,Willamette,Falls City SD 57,Polk,41005,State Senate District 5,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41010,State House District 10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,-123.115773,44.03561521,Family School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,-122.9919987,45.4596674,Farmington View Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41012,State Senate District 12,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41024,State House District 24,1,9,7,9,9,8,8,8,9,9,4,10,10,7,9,9,9,7,9,9,10,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,
261,-122.6351996,45.57187163,Faubion Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41043,State House District 43,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,
262,-123.4007602,45.09268254,Faulconer-Chapman School,Willamette,Sheridan SD 48J,Yamhill,41005,State Senate District 5,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41010,State House District 10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,-121.7226626,42.20001273,Ferguson Elementary School,Southern OR,Klamath County SD,Klamath,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,-123.07468,45.51399748,Fern Hill Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,-123.3544933,44.06903339,Fern Ridge Middle School,Lane,Fern Ridge SD 28J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,-118.4013963,45.98041299,Ferndale Elementary School,InterMountain,Milton-Freewater Unified SD 7,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,-118.6737033,42.26272552,Fields Elementary School,Harney,South Harney SD 33,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
