Date,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,Oregon
2017,----,4-219-3-50797.3-231.9511,2-184-3-44278.75-240.6454,8-605-3-64822.62-107.1448,10-549-3-91722.15-167.0713,7-413-3.142857-55214.13-133.6904,10-488-3.4-86173.75-176.5856,4-234-3.75-39222.98-167.6196,4-424-3.75-77419.1-182.5922,7-373-3.571429-57689.11-154.6625,8-390-3.25-78219.45-200.5627,3-671-3.333333-35622.98-53.08939,1-45-3-6164.1-136.98,3-200-3-34124.26-170.6213,2-192-3.5-53640.8-279.3792,8-557-3.5-162522.9-291.7826,13-766-4-179687.8-234.5794,12-650-3.5-153433.1-236.0509,4-343-3-45993.66-134.0923,5-420-3-47525.02-113.1548,6-458-3-51877.27-113.2691,2-146-2.5-22437.36-153.6805,11-683-3.909091-126364.1-185.0134,8-464-3.125-94019.98-202.6293,8-501-3.375-73923.67-147.5522,8-832-3.625-168478.7-202.4984,5-835-3.8-193602.7-231.8595,3-394-3.666667-88805.16-225.3938,10-818-3.2-167141.2-204.3291,12-822-3.083333-155238-188.854,11-603-4-141216.8-234.1904,4-373-4.25-86274.06-231.2977,1-429-4-106653.7-248.61,5-854-3.2-197598.6-231.3801,2-537-3-96985.51-180.6062,4-515-5.5-211780.5-411.2243,3-698-3.666667-99018.53-141.8604,2-283-6-121502.5-429.3375,9-487-4-144587.2-296.8936,5-669-4-192722.9-288.0761,3-714-4.666667-220201.7-308.4057,5-501-6-238256-475.561,6-254-6-111134.2-437.5361,5-381-5.6-176624.3-463.5809,8-755-6-351344.9-465.3574,9-809-5.666667-303913.3-375.6654,2-243-2-50421.47-207.4958,2-164-6-71800.56-437.8083,6-885-4-249432.6-281.8448,3-404-3.333333-108680.2-269.0103,5-844-3.8-189398.8-224.4062,5-541-4-179384.9-331.5801,10-709-3-131203.7-185.0546,12-988-3-180633.1-182.827,14-534-3.571429-122405.1-229.2231,17-705-3.352941-157605.3-223.5536,10-421-3.9-75983.55-180.4835,14-718-3.785714-107132.8-149.2101,9-643-3.222222-127498.9-198.2876,11-497-4.272727-118713.5-238.8601,390-30834-3.738462-7176271.357514-232.7389
2018,14-258-3.4-50852.4-197.1023,23-494-3.333333-130175.0801-263.5123,14-268-3-81982.6-305.9052,17-773-3-165197.83-213.71,18-682-3.083333-145021.6276-212.6417,14-651-3.166667-123760.99-190.109,29-497-3.307692-115746.0092-232.8894,15-471-3.333333-101374.07-215.2316,15-587-3.857143-156198.2907-266.0959,18-518-3.4-104391.2816-201.5276,18-520-3.153846-118174.3585-227.2584,15-591-3-45420.841-76.85421,11-564-3.125-126872.83-224.9518,16-769-2.909091-127182.366-165.3867,20-743-3-171683.05-231.0674,12-561-3.5-169684.0236-302.4671,23-722-3.866667-889742.0293-1232.33,28-763-3.533333-204224.748-267.6602,12-577-3-117784.07-204.1318,16-568-3-117797.53-207.39,15-1011-3-144617.6-143.0441,19-244-3-44757.8-183.4336,23-652-3.916667-139960.9-214.664,17-610-3.111111-113720.68-186.4273,17-620-3.3-120082.93-193.6821,16-923-3.625-251189.54-272.1447,14-823-4-187216.2532-227.4803,10-522-3.75-122261.7379-234.2179,16-715-3.4-162604.08-227.4183,13-807-3.083333-154286.0199-191.1847,19-649-4.727273-191601.7062-295.226,20-468-3.833333-121288.28-259.163,10-456-4-110700.5468-242.7644,16-1021-3.833333-228792.7522-224.0869,8-570-3-111674.85-195.9208,9-524-5.4-284470.72-542.8831,15-771-4-274951.75-356.6171,13-812-5-276251.44-340.2111,17-548-3.777778-169049.271-308.4841,12-717-5.333333-294572.01-410.8396,15-663-4.666667-221945.42-334.7593,11-490-5.666667-270756.72-552.5647,8-278-6-154645.84-556.28,13-448-5.166667-223165.24-498.1367,11-728-6-398396.03-547.2473,15-881-5.666667-483967.32-549.3386,14-304-6-159681.02-525.2665,10-174-5.333333-93116.58-535.1528,19-870-5.857143-452515.52-520.1328,14-625-5.666667-312355.59-499.7689,13-1032-5.285714-359377.18-348.2337,18-570-4.8-240262.67-421.5135,20-733-3.166667-153261.27-209.0877,16-960-3-185403.58-193.1287,22-535-3.625-132308.8267-247.3062,21-640-3.785714-202165.11-315.883,24-979-3.625-140353.74-143.3644,26-820-3.733333-137170.0149-167.2805,22-505-3.5-111100.26-220.0005,48-584-4-212972.3736-364.6787,496-37859-3.768145-11412237.2-301.4405
2019,2-46-3-15561.2-338.286956521739,2-106-3-32122.88-303.046037735849,2-70-3-22459.52-320.850285714286,2-173-3-52133.63-301.350462427746,7-325-3.428571429-93994.32-289.213292307692,5-319-3-48419.14-151.784137931034,1-74-4-27296.38-368.87,2-94-3.5-27101.24-288.311063829787,3-286-3.666666667-86005.66-300.719090909091,2-85-4.5-26697.34-314.086352941176,2-112-4-42769.42-381.869821428571,3-629-3.333333333-58289.86-92.6706836248013,----,----,1-57-3-13868.67-243.31,----,6-284-4.833333333-95441.96-336.06323943662,6-260-4.166666667-92029.98-353.961461538462,1-60-3-11750.4-195.84,----,5-368-3-64564.25-175.446331521739,2-441-3-64612.26-146.51306122449,3-297-3.666666667-82917.14-279.18228956229,2-71-3-11715.07-165.000985915493,3-214-4-32283.32-150.856635514019,3-140-3.333333333-29467.63-210.483071428571,2-303-4-77518.51-255.836666666667,2-195-3.5-46369.65-237.793076923077,6-216-3.5-82147.08-380.310555555556,5-364-3-72827.1-200.074450549451,6-266-4.5-92939.74-349.397518796993,5-468-4-120901.78-258.337136752137,----,1-58-3-10970.7-189.15,2-576-3-114514.54-198.809965277778,3-475-6-282496.75-594.73,1-19-5-9275.99-488.21,3-775-4.666666667-264270.09-340.993664516129,2-186-3.5-49317.55-265.14811827957,2-172-4.5-93973-546.354651162791,----,3-238-5.333333333-132548.18-556.92512605042,3-257-6-152845.61-594.73,1-118-6-70178.14-594.73,----,4-386-6-215618.3-558.596632124352,2-246-6-134496.48-546.733658536585,1-108-6-64230.84-594.73,2-234-6-130244.24-556.599316239316,4-506-6-279873.74-553.110158102767,5-659-4.6-172499.11-261.758892261002,1-118-6-67434.64-571.48,4-292-3-63925.96-218.924520547945,4-290-3-59630.3-205.621724137931,4-139-3.5-33897.32-243.865611510791,4-176-4-75272.48-427.684545454545,7-589-3-136607.92-231.9319524618,4-87-3.5-15904.24-182.807356321839,6-423-3.166666667-1424399.97-3367.37581560284,9-469-3.888888889-112434.82-239.733091684435,173-13919-3.942196532-5691066.04-408.87032401753
