Length,Baker,Benton,Clackamas,Columbia,Coos,Crook,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Yamhill,Oregon
threeNil,19--,--,--,--140,--,--,--,-137-16,--,--,--,--,--,--,229-237-112,--,--,--,--,105-1014-377,--,--,--,92-518-778,--,-11-24,--,--,--,--,--,--,--,530-1917-1478
threeTwo,--,432-435-73,194-292-22,-113-,363-48-,405-396-135,--,-29-,1999-1780-671,183-378-49,--,-5-,64-59-65,--,1323-1631-411,227-228-400,376-486-276,180-94-19,80-57-,850-1508-84,153-269-,394-1144-,--,1336-2130-291,113-128-137,2063-156-77,610-567-,--,--,449-871-452,212-326-46,--,188-19-,621-75-352
fourNil,165--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,336--252,--,--,--,--,--,--,--,--,--,-3-,--,120-72-41,--,16464-16189-4607
fourThree,-150-63,21-18-,2738-2739-1244,--35,32-175-51,--,--,--,-53-,19-82-,--,88-50-23,-28-,276-289-,-47-15,-9-,--,391-546-207,--,453-642-142,151-146-44,309-118-,-207-56,214-275-242,29-35-,83-84-26,53-75-,--,73-86-69,80-175-,22-46-,--,-189-23,7406-10252-2842
fiveFour,37--,230-231-,265-709-85,--,68-294-120,--151,207-217-,--,1-1-,-193-,24-26-,--,--,--,30-39-160,--,--,47--,--,55--54,--,165-158-153,124-113-27,263-265-308,--,-22-,--,14-26-,174-169-218,76-25-,--,--,28--,1811-2488-1276
sixFive,--,--,-173-150,--,20-22-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19-20-,--,--,--,14-20-14,--,3518-5996-2716,--,--,--,--,--,--,--,3827-6501-3129
