Length,Clackamas,Columbia Gorge,Douglas,Grant,Harney,High Desert,InterMountain,Jefferson,Lake,Lane,Linn Benton-Lincoln,Malheur,Multnomah,North Central,Northwest Regional,Oregon Department of Education,Region 18,South Coast,Southern OR,Willamette
threeNil,--,--,--,--,--,--,19--,--,--,105-1014-377,--,--,-11-24,--,--140,--,--,-137-16,229-237-112,177-518-809
threeTwo,194-292-22,188-19-,183-378-49,-5-,64-59-65,1999-1780-671,774-1325-635,227-228-400,80-57-,850-1508-84,979-1848-73,--,2063-132-77,--,4017-2466-1317,-37-,--,405-425-135,1879-2211-706,2509-3419-373
fourNil,--,--,--,--,--,--,165-3-,--,--,336--252,--,--,--,--,--59,--,120-72-41,--,--,--
fourThree,2738-2739-1244,276-478-23,19-82-,88-50-23,-28-,-53-,131-406-63,-9-,--,453-642-142,457-254-44,-177-27,60-84-26,-5-,2312-4167-757,23-30-29,--,--,391-593-222,458-535-242
fiveFour,265-709-85,28--,-193-,--,--,208-218-,113-25-,--,--,55--54,395-389-153,104-113-27,-22-,38-52-,242-463-338,20--,--,--151,77-39-160,263-265-308
sixFive,-173-150,--,--,--,--,--,--,--,--,19-20-,--,--,3713-6266-2965,--,20-22-,61--,--,--,--,14-20-14
