Date,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Oregon
2017,3-221-4-25580.5-115.748868778281,13-683-3.69230769230769-194584.74-284.897130307467,28-3197-3.92857142857143-748689.1804-234.184917234908,0----,8-483-3.75-105143.633-217.68868115942,3-405-3-64249.25-158.64012345679,3-207-5-67782.15-327.45,0----,28-2000-3.07142857142857-366687.95-183.343975,5-202-3.2-36672.21-181.545594059406,2-24-5-8462.5-352.604166666667,3-88-4-32691.76-371.497272727273,1-64-3-16208.64-253.26,2-276-4-92903.71-336.607644927536,28-1644-3.03571428571429-201653.85-122.66049270073,3-227-3-42545.53-187.425242290749,5-376-3-111487.24-296.508617021277,15-618-3.66666666666667-155553.78-251.705145631068,5-133-2.2-11487.05-86.3687969924812,24-1852-3.45833333333333-242761.83-131.080901727862,4-304-3.5-37387.44-122.985,15-868-3.8-220703.400002-254.266589864055,4-124-5-44232.58-356.71435483871,29-1993-3.37931034482759-327023.07-164.085835423984,4-142-3.5-27281.98-192.12661971831,58-5672-5.20689655172414-2138202.95-376.975132228491,9-663-3.33333333333333-84582.76713-127.575817692308,1-14-5-4515.98-322.57,2-247-4.5-54753.58-221.674412955466,9-605-3.77777777777778-87104.9-143.975041322314,4-234-3.25-39290.23-167.906965811966,4-120-4-16460.787-137.173225,3-216-3.66666666666667-49321.78-228.341574074074,53-6117-3.37735849056604-1355594.33-221.610974333824,0----,12-815-3.25-164670.079982-202.049177892025,390-30834-3.738462-7176271.357514-232.7389
2018,5-150-4-28822.305-192.1487,13-684-3.69230769230769-205219.583598-300.028630991228,31-3926-4.03225806451613-1249449.64902-318.250037957208,2-113-3-21152.96-187.194336283186,8-539-4.75-154030.53-285.770927643785,4-396-3-97806.84-246.98696969697,3-217-5-59199.77-272.81,3-166-3-19730.61-118.859096385542,28-1845-3.10714285714286-368209.69-199.571647696477,11-653-3.63636363636364-180488.599998-276.399081160796,2-26-5-6480.4-249.246153846154,4-55-3.75-17869.45-324.899090909091,2-87-3.5-21979.52-252.63816091954,2-289-4-96423.23-333.644394463668,39-2143-3.07692307692308-422870.6143-197.326464909006,4-237-3.25-44338.75-187.083333333333,5-486-3-162581.14-334.529094650206,16-640-3.8125-205531.47-321.142921875,2-57-3-11290.08-198.071578947368,51-3276-3.2156862745098-606978.026998-185.280228021367,5-415-3.2-69444.4416-167.336003855422,21-1420-3.52380952380952-1049702.687756-739.227244898592,8-320-4.25-150645.6186-470.767558125,48-3208-3.29166666666667-623246.11-194.278712593516,4-163-3.5-39598.23-242.933926380368,64-6274-5.671875-3313965.29-528.206134842206,10-642-3.4-124441.38-193.833925233645,1-26-5-8072.22-310.47,3-255-4.33333333333333-75412.24-295.734274509804,14-1121-3.64285714285714-130778.25085-116.662132783229,6-372-3.16666666666667-73158.34-196.662204301075,3-72-4-10013.074-139.070472222222,4-208-3.75-59033.75-283.816105769231,55-6481-3.50909090909091-1511823.23609-233.270056486653,1-5-4-2016.55-403.31,14-892-3.21428571428571-190432.56-213.489417040359,496-37859-3.768145-11412237.2-301.4405
2019,3-233-4-55636.3-238.782403433476,2-73-3-18412.67-252.228356164384,11-1501-4.36363636363636-443897.25-295.734343770819,2-175-3.5-31845.45-181.974,3-171-4.66666666666667-54386.96-318.052397660819,3-286-3.66666666666667-86005.66-300.719090909091,----,1-16-3-7095.2-443.45,9-671-3-141968.58-211.577615499255,2-49-3-16942.28-345.760816326531,----,1-23-4-12397-539,1-65-3-11982.1-184.34,----,12-698-3.25-157124.53-225.106776504298,5-400-3-1410212.42-3525.53105,5-276-3-83528.68-302.640144927536,7-226-3.85714285714286-90757.48-401.581769911504,----,8-909-3.625-155456.9-171.019691969197,1-44-4-13051.72-296.63,4-153-5-56995.55-372.519934640523,4-148-4-32419.42-219.050135135135,19-1633-3.68421052631579-334711.6-204.967299448867,2-137-3-35537.11-259.39496350365,28-2843-5.71428571428571-1587391.08-558.350714034471,----,----,3-287-4.66666666666667-89705.04-312.561114982578,5-452-3-101070.81-223.607986725664,2-46-3-10274.08-223.349565217391,2-41-4-5630.16-137.320975609756,1-23-4-14187.55-616.85,25-2227-3.48-613781.63-275.609173776381,----,2-113-3-18660.83-165.140088495575,173-13919-3.942196532-5691066.04-408.87032401753
