Date,Central: Benton-Polk,Central: Deschutes-Jefferson,Central: Lane,Central: Linn-Lincoln,Central: Polk-Marion,Eastern,Northern,Southern
2017,25-1498-3.48-359254.819982-239.822977291055,31-2227-3.06451612903226-409233.48-183.759982038617,24-1852-3.45833333333333-242761.83-131.080901727862,19-1172-3.73684210526316-258090.840002-220.214027305461,37-2630-3.35135135135135-405093.87713-154.028090163498,35-1805-3.97142857142857-356633.527-197.580901385042,158-16272-4.22784810126582-4564099.6034-280.487930395772,61-3378-3.13114754098361-581103.38-172.025867377146
2018,28-1757-3.42857142857143-435530.063598-247.88279089243,33-2110-3.15151515151515-418892.96-198.527469194313,51-3276-3.2156862745098-606978.026998-185.280228021367,25-1654-3.48-1079269.209356-652.520682802902,57-3807-3.29824561403509-737040.26-193.601329130549,49-2534-3.81632653061224-527736.58845-208.262268528019,173-18180-4.50867052023121-6506490.73511-357.892779709021,80-4541-3.2875-1100299.354298-242.303315194451
2019,4-186-3-37073.5-199.319892473118,14-1071-3-1552181-1449.28197945845,8-909-3.625-155456.9-171.019691969197,5-197-4.8-70047.27-355.569898477157,18-1603-3.66666666666667-326450.8-203.649906425452,20-1145-3.5-264946.98-231.394742358079,74-7257-4.56756756756757-2843455.76-391.822483119746,30-1551-3.36666666666667-441453.83-284.625293359123
