Length,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,Oregon
threeNil,0-2,0-0,0-0,1-0,1-2,1-2,0-0,1-3,0-0,1-0,0-1,0-2,0-3,1-2,0-0,0-0,0-0,0-0,0-1,0-0,1-5,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,9-26
fourNil,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-4,0-0,1-0,7-4
threeTwo,0-2,4-5,2-2,7-11,9-8,4-6,6-10,0-3,3-3,2-6,4-10,2-1,1-4,2-8,1-4,6-6,6-7,7-8,4-6,5-7,5-9,1-4,4-4,7-9,6-8,3-3,1-0,1-1,7-6,10-11,5-1,0-2,1-0,3-1,2-2,0-1,1-1,0-0,1-3,1-0,0-0,0-0,0-0,0-1,0-0,1-0,1-0,0-0,4-0,2-0,2-0,2-0,10-10,12-12,10-8,6-3,4-9,5-6,8-4,2-2,203-239
fourThree,0-0,0-0,0-0,0-0,0-1,0-0,3-2,3-3,0-3,4-4,2-2,0-0,0-1,0-0,1-0,0-0,3-3,4-7,0-0,0-0,0-1,0-0,3-4,1-1,0-0,5-5,4-5,2-3,2-4,1-1,3-3,3-3,1-1,1-5,0-0,1-0,2-2,0-2,7-4,3-0,2-2,0-1,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,2-2,2-3,0-1,0-0,0-3,8-11,3-4,3-3,0-5,3-14,84-122
fiveFour,0-1,0-1,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-2,5-5,1-1,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-5,1-1,0-0,0-0,0-0,0-0,0-1,0-0,1-1,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-0,0-0,0-0,4-4,1-0,3-3,2-1,1-0,5-2,34-37
sixFive,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,1-0,0-0,2-4,0-0,2-2,0-0,0-1,1-1,5-5,6-3,4-4,8-5,8-8,0-3,2-2,2-6,0-4,0-4,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,46-59
