Date,Adel SD 21,Adrian SD 61,Alsea SD 7J,Amity SD 4J,Annex SD 29,Arlington SD 3,Arock SD 81,Ashland SD 5,Ashwood SD 8,Astoria SD 1,Athena-Weston SD 29RJ,Baker SD 5J,Bandon SD 54,Banks SD 13,Beaverton SD 48J,Bend-LaPine Administrative SD 1,Bethel SD 52,Blachly SD 90,Black Butte SD 41,Brookings-Harbor SD 17C,Burnt River SD 30J,Butte Falls SD 91,Camas Valley SD 21J,Canby SD 86,Cascade SD 5,Centennial SD 28J,Central Curry SD 1,Central Linn SD 552,Central Point SD 6,Central SD 13J,Clatskanie SD 6J,Colton SD 53,Condon SD 25J,Coos Bay SD 9,Coquille SD 8,Corbett SD 39,Corvallis SD 509J,Cove SD 15,Creswell SD 40,Crook County SD,Crow-Applegate-Lorane SD 66,Culver SD 4,Dallas SD 2,David Douglas SD 40,Days Creek SD,Dayton SD 8,Dayville SD 16J,Diamond SD 7,Double O SD 28,Douglas County SD 4,Drewsey SD 13,Dufur SD 29,EAGLE Charter School SD,Eagle Point SD 9,Echo SD 5,Elgin SD 23,Elkton SD 34,Enterprise SD 21,Estacada SD 108,Eugene SD 4J,Falls City SD 57,Fern Ridge SD 28J,Forest Grove SD 15,Fossil SD 21J,Four Corners Community School SD,Frenchglen SD 16,Gaston SD 511J,Gervais SD 1,Gladstone SD 115,Glendale SD 77,Glide SD 12,Grants Pass SD 7,Greater Albany Public SD 8J,Gresham-Barlow SD 10J,Harney County SD 3,Harney County SD 4,Harney County Union High SD 1J,Harper SD 66,Harrisburg SD 7J,Helix SD 1,Hermiston SD 8,Hillsboro SD 1J,Hood River County SD,Huntington SD 16J,Imbler SD 11,Ione SD R2,Jefferson County SD 509J,Jefferson SD 14J,Jewell SD 8,John Day SD 3,Jordan Valley SD 3,Joseph SD 6,Junction City SD 69,Juntura SD 12,Klamath County SD,Klamath Falls City Schools,Knappa SD 4,La Grande SD 1,Lake County SD 7,Lake Oswego SD 7J,Lebanon Community SD 9,Lincoln County SD,Long Creek SD 17,Lowell SD 71,Mapleton SD 32,Marcola SD 79J,McKenzie SD 68,McMinnville SD 40,Medford SD 549C,Milton-Freewater Unified SD 7,Mitchell SD 55,Molalla River SD 35,Monroe SD 1J,Monument SD 8,Morrow SD 1,Mt Angel SD 91,Mutlnomah ESD,Myrtle Point SD 41,Neah-Kah-Nie SD 56,Nestucca Valley SD 101J,Newberg SD 29J,North Bend SD 13,North Clackamas SD 12,North Douglas SD 22,North Lake SD 14,North Marion SD 15,North Powder SD 8J,North Santiam SD 29J,North Wasco County SD 21,Nyssa SD 26,Oakland SD 1,Oakridge SD 76,Ontario SD 8C,Oregon City SD 62,Oregon School for the Deaf SD,Oregon Trail SD 46,Paisley SD 11,Parkrose SD 3,Pendleton SD 16,Perrydale SD 21,Philomath SD 17J,Phoenix-Talent SD 4,Pilot Rock SD 2,Pine Creek SD 5,Pine Eagle SD 61,Pinehurst SD 94,Pleasant Hill SD 1,Plush SD 18,Port Orford-Langlois SD 2CJ,Portland SD,Portland SD 1J,Powers SD 31,Prairie City SD 4,Prospect SD 59,Rainier SD 13,Redmond SD 2J,Reedsport SD 105,Reynolds SD 7,Riddle SD 70,Riverdale SD 51J,Rogue River SD 35,Salem-Keizer SD 24J,Santiam Canyon SD 129J,Scappoose SD 1J,Scio SD 95,Seaside SD 10,Sheridan SD 48J,Sherman County SD,Sherwood SD 88J,Silver Falls SD 4J,Sisters SD 6,Siuslaw SD 97J,South Harney SD 33,South Lane SD 45J3,South Umpqua SD 19,South Wasco County SD 1,Spray SD 1,Springfield SD 19,St Helens SD 502,St Paul SD 45,Stanfield SD 61,Suntex SD 10,Sutherlin SD 130,Sweet Home SD 55,The Cottonwood School of Civics and Science SD,The Ivy School SD,Three Rivers/Josephine County SD,Tigard-Tualatin SD 23J,Tillamook SD 9,Troy SD 54,Ukiah SD 80R,Umatilla SD 6R,Union SD 5,Vale SD 84,Vernonia SD 47J,Wallowa SD 12,Warrenton-Hammond SD 30,West Linn-Wilsonville SD 3J,Willamina SD 30J,Winston-Dillard SD 116,Woodburn SD 103,Yamhill Carlton SD 1,Yoncalla SD 32,Oregon
2017,0----,1-24-5-5651.04-235.46,1-14-5-4982.18-355.87,1-74-4-20054-271,0----,1-14-5-6104-436,0----,3-212-3-29161.71-137.555235849057,0----,0----,1-51-5-8704.55-170.677450980392,2-202-4.5-20125.79-99.6326237623762,0----,1-83-4-21670.47-261.09,14-2572-3.71428571428571-607849.32-236.3333281493,18-1348-3-246866.43-183.135333827893,2-137-3-25761.64-188.041167883212,1-19-6-13169.85-693.15,0----,0----,0----,0----,0----,6-321-4.33333333333333-103363.4604-322.00454953271,1-172-5-27004-157,0----,0----,1-47-4-19325.46-411.18,5-376-3-8683.96-23.0956382978723,0----,1-46-3-10580-230,0----,1-10-5-2358.5-235.85,2-225-3-42120.05-187.200222222222,0----,1-90-6-46355.4-515.06,9-512-3.33333333333333-134712.61-263.11056640625,1-22-4-6395.18-290.69,1-98-4-14604.94-149.03,4-208-5-68109.6-327.45,0----,1-51-3-9180-180,2-202-3.5-24713.52713-122.344193712871,3-697-3-146016.71-209.4931276901,0----,1-71-3-11840.37-166.765774647887,0----,0----,0----,2-106-3-14155.84-133.545660377359,0----,0----,0----,5-238-3-31362.45-131.775,1-25-5-3958.75-158.35,0----,1-19-4-5395.43-283.97,1-53-4-7196.306-135.779358490566,1-131-4-33863.5-258.5,6-361-3.5-68857.7-190.741551246537,1-16-4-4934.72-308.42,2-118-4-15340-130,3-444-3.33333333333333-94220.24-212.207747747748,0----,1-20-5-11655.22-582.761,0----,1-43-4-9850.01-229.07,0----,1-124-5-48061.16-387.59,1-22-3-5505.94-250.27,1-55-3-11615-211.181818181818,1-135-3-31765.5-235.3,1-143-4-45842.94-320.58,5-746-3-184978.48-247.960428954424,1-64-3-16208.64-253.26,0----,0----,1-6-5-1826.22-304.37,0----,1-17-4-3681.52-216.56,0----,27-1515-3.03703703703704-276292.8-182.371485148515,2-276-4-92903.71-336.607644927536,0----,1-29-3-4229.07-145.83,1-12-4-4289.52-357.46,2-176-3-33365.53-189.576875,1-62-3-11078.78-178.69,0----,2-64-4-23760.64-371.26,0----,2-35-4-4721.6-134.902857142857,0----,0----,11-420-3.54545454545455-100517.47-239.32730952381,4-198-4-55036.31-277.961161616162,0----,1-155-3-21616.98-139.464387096774,4-120-2-8406.05-70.0504166666667,0----,5-323-3.8-83831.91-259.541517027864,4-304-3.5-37387.44-122.985,0----,0----,0----,0----,1-35-3-4748.1-135.66,1-96-3-18975.36-197.66,11-639-3.09090909090909-80884.41-126.579671361502,1-134-3-16922.86-126.29,0----,4-169-3-36343.45-215.05,1-24-5-9235.44-384.81,0----,3-130-3.33333333333333-22992.46-176.865076923077,0----,1-8-1-655.52-81.94,0----,1-73-4-18041.32-247.141369863014,0----,6-434-3-75614.159982-174.226175073733,1-180-3-22129.2-122.94,5-1123-4.2-261431.35-232.797284060552,0----,0----,1-129-3-39940.62-309.617209302326,0----,3-161-4-42256.67-262.463788819876,2-188-3-41141.9-218.839893617021,1-74-5-25100.1-339.19054054054,0----,1-74-3-5012.76-67.74,0----,6-587-3.83333333333333-161739.39-275.535587734242,0----,1-23-3-6007.83-261.21,1-13-3-3081-237,1-225-6-112918.5-501.86,1-238-3-30057.02-126.29,1-25-4-7409.5-296.38,2-133-4-45654.51-343.266992481203,3-165-3-46707.82-283.077696969697,1-30-4-3889.2-129.64,0----,1-19-3-5454.71-287.09,0----,1-83-4-16804.18-202.46,0----,0----,1-49-6-23815.96-486.04,37-3228-5.94594594594595-1446840.2-448.215675340768,0----,1-24-4-8931.12-372.13,1-14-3-4853.5-346.678571428571,1-68-5-19955.295-293.460220588235,7-510-3-94500.74-185.295568627451,0----,6-735-4.16666666666667-217282.24-295.622095238095,0----,1-49-6-24149.16-492.84,0----,22-1659-2.95454545454545-201640.7-121.543520192887,1-42-5-8085.84-192.52,2-149-3.5-29812.58-200.084429530201,1-54-5-14515.74-268.81,0----,2-53-3.5-15366.95-289.942452830189,1-14-5-4515.98-322.57,3-393-4-92140.76-234.454860050891,6-240-3.83333333333333-56981.48-237.422833333333,2-141-3-24993.33-177.257659574468,0----,0----,5-222-3.4-42598.28-191.884144144144,0----,1-28-5-8179.88-292.138571428571,0----,4-705-2.75-35864.38-50.8714609929078,4-205-3.75-43166.128-210.566478048781,1-14-6-6753.04-482.36,1-33-4-5261.19-159.43,0----,0----,5-235-3.2-37994.310002-161.677914902128,1-23-4-7088.83-308.21,1-61-6-30073.61-493.01,4-241-3-79721.74-330.795601659751,3-811-3-147064.49-181.337225647349,1-174-5-36712.26-210.99,0----,1-3-3-1090.77-363.59,1-74-3-13539.04-182.96,1-28-3-7049-251.75,0----,1-32-4-6164.21-192.6315625,1-32-4-4542.881-141.96503125,0----,4-719-4-97879.04-136.132183588317,0----,0----,0----,1-87-4-22819.24-262.290114942529,0----,390-30834-3.738462-7176271.357514-232.7389
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496-37859-3.768145-11412237.2-301.4405
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173-13919-3.942196532-5691066.04-408.87032401753
