FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,participation,ODS_Provider,Location,No 5th Grade,No 6th Grade,Number_Attending,Days,Days+Nights,Cost Per Student,Total Request,Fall 5th Grad,Fall 6th Grade,Percent 5th,Percent 6th
21,-122.853193,45.48411201,Aloha-Huber Park School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,1,Yes,NWRESD,Magruder,0,61,61,4,3-Apr,236.24,14410.64,124,66,0,92.42424242
22,-123.5954926,44.38094899,Alsea Charter School,Linn Benton Lincoln,Alsea SD 7J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,Yes,Forest Camp,Tadmor,0,14,14,5,4-May,355.87,4982.18,13,14,0,100
23,-121.3176076,44.05527509,Amity Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,1,Yes,Camp Tamarack,Camp Tamarack,29,0,29,3,2-Mar,184.05,5337.45,32,0,90.625,#DIV/0!
24,-123.2031805,45.12170748,Amity Elementary School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,Yes,US,LaPine State Campground,74,0,74,4,3-Apr,271,20054,81,0,91.35802469,#DIV/0!
25,-123.20593,45.11378247,Amity Middle School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,,No,,,,,,,,,,0,67,,
26,-116.9870898,44.2361975,Annex Charter School,Mulheur,Annex SD 29,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,,No,,,,,,,,,,7,12,,
27,-122.9810596,45.32438751,Antonia Crater Elementary School,Willamette,Newberg SD 29J,Yamhill,41013,State Senate District 13,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41025,State House District 25,1,Yes,Twin Rocks Friends Camp,Twin Rocks Freinds Camp,76,0,76,3,2-Mar,197.68,15023.68,77,0,98.7012987,#DIV/0!
28,-123.3351237,43.99037261,Applegate Elementary School,Lane,Crow-Applegate-Lorane SD 66,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,,No,,,,,,,,,,11,18,,
29,-123.152596,42.254355,Applegate School,Southern OR,Three Rivers/Josephine County SD,Josephine,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,Yes,Pacifica Gardens,"Williams, OR  97544",0,11,11,3,2-Mar,550.6036364,6056.64,15,8,0,137.5
30,-122.413128,45.53437698,Arata Creek School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,1,Yes,US,Angelos/SR,0,3,3,6,5-Jun,423.68,1271.04,4,3,0,100
31,-122.843513,45.34977751,Archer Glen Elementary School,Northwest Regional,Sherwood SD 88J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,,No,,,,,,,,,,97,0,,
