FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,ODS_Provider,Location,No_5th_Grade,No_6th_Grade,Number_Attending,Days,Days+Nights,Cost_Per_Student,Total_Request,Fall_5th_Grade,Fall_6th_Grade,Percent_5th,Percent_6th
17,-122.4856854,45.51764796,Alder Elementary School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,0,,,,,,,,,,,,,
18,-122.5335541,45.47980149,Alice Ott Middle School,Multnomah,David Douglas SD 40,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41051,State House District 51,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,64064,0,220,,0
19,-123.348448,42.41059099,Allen Dale Elementary School,Southern OR,Grants Pass SD 7,Josephine,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41003,State House District 3,0,,,,,,,,,,,,,
20,-122.5787899,45.37364305,Alliance Charter Academy,Clackamas,Oregon City SD 62,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41040,State House District 40,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,7,15,22,3,3-2,361,7942,36,35,19.44444444,42.85714286
21,-122.853193,45.48411201,Aloha-Huber Park School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,9187.2,129,64,0,0
22,-123.5954926,44.38094899,Alsea Charter School,Linn Benton Lincoln,Alsea SD 7J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,2,Coast Range Natural Resource Education Organization (CRNREO),,0,0,0,0,Canceled,0,4401.69,18,17,0,0
23,-121.3176076,44.05527509,Amity Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,Camp Tamarack,,0,0,0,0,Canceled,0,3510,30,0,0,
24,-123.2031805,45.12170748,Amity Elementary School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,1089.76,55,0,0,
25,-123.20593,45.11378247,Amity Middle School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,
26,-116.9870898,44.2361975,Annex Charter School,Malheur,Annex SD 29,Malheur,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,McCall Outdoor Science School,Anthony Lakes Mountain Resort,0,27,27,5,5-4,334.65,9035.55,10,12,0,225
27,-122.9810596,45.32438751,Antonia Crater Elementary School,Willamette,Newberg SD 29J,Yamhill,41013,State Senate District 13,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41025,State House District 25,2,Oregon Museum of Science and Industry (OMSI),,0,0,0,0,Canceled,0,9461.25,70,0,0,
28,-123.3351237,43.99037261,Applegate Elementary School,Lane,Crow-Applegate-Lorane SD 66,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,2,Camp Fire Wilani,,0,0,0,0,Canceled,0,0,28,17,0,0
29,-123.152596,42.254355,Applegate School,Southern OR,Three Rivers/Josephine County SD,Josephine,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,0,7,7,3,3-2,575.36,4027.52,18,13,0,53.84615385
30,-122.413128,45.53437698,Arata Creek School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,0,24,14,0,0
31,-122.843513,45.34977751,Archer Glen Elementary School,Northwest Regional,Sherwood SD 88J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
32,-122.818089,45.47645254,Arco Iris Spanish Immersion Schools,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41027,State House District 27,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,6960,46,40,0,0
33,-122.624282,45.45781899,Ardenwald Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,
34,-122.5957141,45.48623867,Arleta K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Howard",0,51,51,6,6-5,594.73,30331.23,56,58,0,87.93103448
35,-120.2005324,45.71254733,Arlington Elementary School,North Central,Arlington SD 3,Gilliam,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,0,12,12,0,0
36,-122.8179923,42.27172997,Armadillo Technical Institute,Southern OR,Phoenix-Talent SD 4,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,0,,,,,,,,,,,,,
37,-119.3057726,45.82678387,Armand Larive Middle School,InterMountain,Hermiston SD 8,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,0,,,,,,,,,,,,,
38,-122.522326,45.504387,Arthur Academy,Multnomah,David Douglas SD 40,Multnomah,41024,State Senate District 24,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41047,State House District 47,0,,,,,,,,,,,,,
39,-122.7941699,45.49376767,Arts and Communication Magnet Academy,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,16304.19,0,113,,0
40,-123.115773,44.03561521,Arts and Technology Academy at Jefferson,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,0,,,,,,,,,,,,,
41,-123.2115629,44.8611152,Ash Creek Elementary School,Willamette,Central SD 13J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,0,,,,,,,,,,,,,
42,-122.688146,42.19244857,Ashland Middle School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Mountain Lakes Organizational Camp,0,160,160,5,5-4,318.73,50996.8,0,169,,94.67455621
43,-120.6970172,44.6621623,Ashwood Elementary School,Jefferson,Ashwood SD 8,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,
44,-122.7297973,45.57824845,Astor K-8 School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,20592,41,66,0,0
45,-123.8314739,46.17959284,Astoria Middle School,Northwest Regional,Astoria SD 1,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
46,-118.4874341,45.80935321,Athena Elementary School,InterMountain,Athena-Weston SD 29RJ,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,0,,,,,,,,,,,,,
47,-122.706091,45.37822598,Athey Creek Middle School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,46200,0,212,,0
48,-122.604683,45.50532254,Atkinson Elementary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,0,,,,,,,,,,,,,
49,-122.971136,44.93639252,Auburn Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,1,Canyonview Camp,Canyonview Camp,92,0,92,3,3-2,211.48,19456.16,113,0,81.4159292,
50,-122.875899,44.84789199,Aumsville Elementary School,Willamette,Cascade SD 5,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,
51,-123.137993,44.12424247,Awbrey Park Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,2,Coyote Outdoor School,,0,0,0,0,Canceled,0,8683.07,72,0,0,
52,-124.2785076,42.05761552,Azalea Middle School,South Coast,Brookings-Harbor SD 17C,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,2,Coyle Outside LLC,,0,0,0,0,Canceled,0,0,0,127,,0
53,-117.8356303,44.77711746,Baker Middle School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
54,-122.6728004,45.25941251,Baker Prairie Middle School,Clackamas,Canby SD 86,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
55,-117.8343713,44.77760881,Baker Web Academy,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,None (school or applying district is provider or school or applying district coordinated multiple providers),Suttle Lake United Methodist Camp,21,29,50,4,4-3,455,22750,115,151,18.26086957,19.20529801
56,-123.1130324,45.61226829,Banks Elementary School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,13986,91,0,0,
57,-123.1144309,45.61340153,Banks Middle School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
58,-120.8247969,44.30747826,Barnes Butte Elementary,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,0,,,,,,,,,,,,,
59,-122.818588,45.50614799,Barnes Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
60,-123.0261735,44.86408046,Battle Creek Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,2,Canyonview Camp,,0,0,0,0,Canceled,0,6600,109,0,0,
61,-122.6855033,45.5583802,Beach Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,0,,,,,,,,,,,,,
62,-121.2873272,44.05118304,Bear Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,Camp Tamarack,,0,0,0,0,Canceled,0,10062,86,0,0,
63,-122.620947,45.54886598,Beaumont Middle School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,60060,0,193,,0
64,-122.8519486,45.50454206,Beaver Acres Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
65,-122.517635,45.2884527,Beavercreek Elementary School,Clackamas,Oregon City SD 62,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
66,-122.6714925,42.17593299,Bellview Elementary School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,0,,,,,,,,,,,,,
67,-121.3088025,44.08789565,Bend International School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,1,Camp Tamarack,Camp Tamarack,24,0,24,3,3-2,195,4680,25,21,96,0
68,-122.8189922,45.01209628,Bethany Charter School,Willamette,Silver Falls SD 4J,Marion,41009,State Senate District 9,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41018,State House District 18,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,3329.4,15,15,0,0
69,-122.8560529,45.54331107,Bethany Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
70,-122.631434,45.53691699,Beverly Cleary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,35464,82,114,0,0
71,-120.5180957,44.82391142,Big Muddy Elementary,Jefferson,Jefferson County SD 509J,Jefferson,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,0,,,,,,,,,,,,,
72,-122.5898587,45.40913442,Bilquist Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41040,State House District 40,0,,,,,,,,,,,,,
73,-121.6545499,44.44658505,Black Butte Elementary School,Jefferson,Black Butte SD 41,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,0,3,3,0,0
74,-123.528954,44.59117999,Blodgett Elementary School,Linn Benton Lincoln,Philomath SD 17J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,
75,-124.2225435,43.36545468,Blossom Gulch Elementary School,South Coast,Coos Bay SD 9,Coos,41005,State Senate District 5,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41009,State House District 9,0,,,,,,,,,,,,,
76,-122.745372,45.309062,Boeckman Creek Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
77,-123.0756963,43.79337204,Bohemia Elementary School,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,2,Whole Earth Nature School,,0,0,0,0,Canceled,0,3755.19,67,0,0,
78,-122.672746,45.54739898,Boise-Eliot Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41043,State House District 43,0,,,,,,,,,,,,,
79,-122.6190434,45.36941304,Bolton Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,
80,-121.4062923,42.19953961,Bonanza Elementary School,Southern OR,Klamath County SD,Klamath,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,2,Klamath Outdoor Science School,,0,0,0,0,Canceled,0,7260,30,39,0,0
81,-122.7974854,45.53864295,Bonny Slope Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41033,State House District 33,0,,,,,,,,,,,,,
82,-122.795,45.30036301,Boones Ferry Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
83,-122.377264,45.43178182,Boring Middle School,Clackamas,Oregon Trail SD 46,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,0,,,,,,,,,,,,,
84,-122.7804783,43.91722703,Bridge Charter Academy,Lane,Lowell SD 71,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,0,,,,,,,,,,,,,
85,-122.732643,45.37845699,Bridgeport Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,
86,-122.5818824,45.51077966,Bridger K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Multnomah Education Service District (MESD),"Camp Kuratli at Trestle Glen, Camp Namanu",0,28,28,6,6-5,594.73,16652.44,66,34,0,82.35294118
87,-122.7242992,45.49235117,Bridlemile Elementary School,Multnomah,Portland SD 1J,Multnomah,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41036,State House District 36,0,,,,,,,,,,,,,
88,-122.990552,44.07237811,Briggs Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,1,Middle Fork Willamette Watershed,Sky Camp at Fall Creek,0,170,170,3,3-0,89,15130,0,171,,99.41520468
89,-123.9196499,45.99312747,Broadway Middle School,Northwest Regional,Seaside SD 10,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
90,-123.4397277,43.12399053,Brockway Elementary School,Douglas,Winston-Dillard SD 116,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,0,,,,,,,,,,,,,
91,-117.8212998,44.77707752,Brooklyn Primary School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
92,-122.9417309,45.51605129,Brookwood Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Cedar Ridge Retreat & Conference Center (Camp Cedar Ridge),0,43,43,3,3-2,200.14,8606.02,50,44,0,97.72727273
93,-120.6016137,43.81340707,Brothers Elementary School,High Desert,Crook County SD,Deschutes,41028,State Senate District 28,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41055,State House District 55,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,0,1,0,0,
94,-123.0773035,44.97253051,Brush College Elementary School,Willamette,Salem-Keizer SD 24J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,2,Camp Tapawingo,,0,0,0,0,Canceled,0,0,56,0,0,
95,-121.2435837,44.07234119,Buckingham Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,1,Camp Tamarack,Camp Tamarack,90,0,90,3,3-2,205.34,18480.6,87,0,103.4482759,
96,-122.648922,45.52040699,Buckman Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,0,,,,,,,,,,,,,
97,-123.0768425,44.07856286,Buena Vista Spanish Immersion Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,2,Coyote Outdoor School,,0,0,0,0,Canceled,0,8091.05,67,0,0,
