,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,Oregon
threeNil,-137-16,--,--,93--,76-114-52,60-123-60,--,42-139-,--,47--,-61-,-422-377,-198-,63-194-,--,--,--,--,-56-,--,92-317-137,-66-441,--,--31,38-79-200,--,--,--,--,--,--24,--140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19-11-,530-1917-1478
fourNil,--,--,--,--,--,--,105--,--,--,--,--,231--252,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120-75-41,--,165--,621-75-352
threeTwo,-70-30,219-380-106,184-268-70,512-773-173,473-531-98,261-356-259,201-299,-135-26,405-355-135,153-315,162-323-58,440-169-,45-309-,137-483,49-558-57,365-365-,413-379-,408-458-,343-521-60,420-568-,366-694-231,72-178-,341-298-98,377-722-40,449-521-,144-191-115,179--,54-41-50,747-258-114,641-695-364,363-48-,-113,307--,529-59-58,537-570-576,-24-,274-269-,--,46-183-77,2--22,--,--,--,-54-,--,268--,235--,--,796--,378--,234--,175--,709-652-292,988-960-290,326-224-108,214-121,321-761-589,453-583-46,615-291-400,134-64-65,16464-16189-4607
fourThree,--,--,--,--,-14-15,--,182-170-74,192-197-68,-212-,173-203-44,145-136-,--,-57-,--,143--,--,144-95-22,189-278-220,--,--,--,--,111-126-,87-73-,--,688-732-25,656-823-244,340-481-145,71-457-102,111-112-,112-253-90,199-186-151,429-456-,18-962-,--,23--,424-480-,-522-543,378-244-109,543--,513-480-,-16-26,--,17-13-,--,--,--,--,--,26--,585-624-592,276-325-,-53-,--,-60-31,391-519-176,62-166-,69-67-,-203-23,88-407-142,7406-10252-2842
fiveFour,-51-,-114-,--,--,--160,30-39-,-28-,--,--151,--41,55--54,--,--,--,--,192-196-,259-248-262,53-55-40,--,--,--,--,210-210-199,--,--,--,--,--,--,--,68-294-120,174-169-177,--,--,--,--,-22-19,--,63-64-,124-544-,--,--,--,--,--,--,--,--,-22-,--,25-24-26,--,--,--,208-218-,47--,38-52-,76-25-,28--,161-113-27,1811-2488-1276
sixFive,--,--,--,--,--,--,--,--,19-20-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14-20-14,--,--,--,--,--,60-54-32,--,--,256--,--,236-500-475,--,283-290-232,--,-173-150,201-183-,501-474-212,254-278-257,364-381-118,755-728-,541-870-386,-299-246,164-161-108,89-848-234,-541-506,-384-41,90-245-118,--,--,--,--,--,--,--,--,3827-6501-3129
