,41001,41002,41003,41004,41005,41006,41007,41008,41009,41010,41011,41012,41013,41014,41015,41016,41017,41018,41019,41020,41021,41022,41023,41024,41025,41026,41027,41028,41029,41030,41031,41032,41033,41034,41035,41036,41037,41038,41039,41040,41041,41042,41043,41044,41045,41046,41047,41048,41049,41050,41051,41052,41053,41054,41055,41056,41057,41058,41059,41060,Oregon
threeNil,-137,-,-,93-,76-114,60-123,-,42-139,-,47-,-61,-422,-198,63-194,-,-,-,-,-56,-,92-317,-66,-,-,38-79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19-11,530-1917
fourNil,-,-,-,-,-,-,105-,-,-,-,-,231-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120-75,-,165-,621-75
threeTwo,-70,219-380,184-268,512-773,473-531,261-356,201-299,-135,405-355,153-315,162-323,440-169,45-309,137-483,49-558,365-365,413-379,408-458,343-521,420-568,366-694,72-178,341-298,377-722,449-521,144-191,179-,54-41,747-258,641-695,363-48,-113,307-,529-59,537-570,-24,274-269,-,46-183,2-,-,-,-,-54,-,268-,235-,-,796-,378-,234-,175-,709-652,988-960,326-224,214-121,321-761,453-583,615-291,134-64,16464-16189
fourThree,-,-,-,-,-14,-,182-170,192-197,-212,173-203,145-136,-,-57,-,143-,-,144-95,189-278,-,-,-,-,111-126,87-73,-,688-732,656-823,340-481,71-457,111-112,112-253,199-186,429-456,18-962,-,23-,424-480,-522,378-244,543-,513-480,-16,-,17-13,-,-,-,-,-,26-,585-624,276-325,-53,-,-60,391-519,62-166,69-67,-203,88-407,7406-10252
fiveFour,-51,-114,-,-,-,30-39,-28,-,-,-,55-,-,-,-,-,192-196,259-248,53-55,-,-,-,-,210-210,-,-,-,-,-,-,-,68-294,174-169,-,-,-,-,-22,-,63-64,124-544,-,-,-,-,-,-,-,-,-22,-,25-24,-,-,-,208-218,47-,38-52,76-25,28-,161-113,1811-2488
sixFive,-,-,-,-,-,-,-,-,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14-20,-,-,-,-,-,60-54,-,-,256-,-,236-500,-,283-290,-,-173,201-183,501-474,254-278,364-381,755-728,541-870,-299,164-161,89-848,-541,-384,90-245,-,-,-,-,-,-,-,-,3827-6501
